
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
 Номер класса  1 | 1 1 1 1 kek wait
